hari,jam,menit,motor,mobil,bus,truk,total_kendaraan
Senin,6,10,26,13,4,2,45
Senin,6,20,27,22,4,1,54
Senin,6,30,38,16,2,2,58
Senin,6,40,43,14,3,2,62
Senin,6,50,41,14,1,3,59
Senin,6,60,49,15,1,3,68
Senin,7,10,40,10,3,1,54
Senin,7,20,41,22,3,0,66
Senin,7,30,36,20,2,1,59
Senin,7,40,47,21,2,3,73
Senin,7,50,42,13,0,2,57
Senin,7,60,24,12,4,0,40
Senin,8,10,16,6,3,0,25
Senin,8,20,23,6,1,0,30
Senin,8,30,11,8,3,3,25
Senin,8,40,16,12,2,0,30
Senin,8,50,13,6,3,1,23
Senin,8,60,15,10,1,3,29
Senin,9,10,27,14,3,1,45
Senin,9,20,19,8,3,0,30
Senin,9,30,17,9,4,1,31
Senin,9,40,24,9,1,0,34
Senin,9,50,22,13,4,4,43
Senin,9,60,10,13,0,0,23
Senin,15,10,21,12,2,2,37
Senin,15,20,26,12,2,2,42
Senin,15,30,10,9,1,1,21
Senin,15,40,18,11,0,3,32
Senin,15,50,11,5,4,2,22
Senin,15,60,21,12,2,2,37
Senin,16,10,20,12,4,2,38
Senin,16,20,20,14,1,2,37
Senin,16,30,28,24,1,1,54
Senin,16,40,47,22,2,0,71
Senin,16,50,39,22,3,4,68
Senin,16,60,42,16,4,2,64
Senin,17,10,48,13,4,2,67
Senin,17,20,38,15,3,1,57
Senin,17,30,29,22,0,4,55
Senin,17,40,25,21,3,3,52
Senin,17,50,31,13,2,1,47
Senin,17,60,42,21,0,0,63
Senin,18,10,10,13,2,0,25
Senin,18,20,29,13,2,2,46
Senin,18,30,18,9,0,2,29
Senin,18,40,19,12,2,0,33
Senin,18,50,29,5,0,1,35
Senin,18,60,29,11,1,2,43
Senin,19,10,26,9,0,0,35
Senin,19,20,26,6,1,3,36
Senin,19,30,14,5,0,2,21
Senin,19,40,11,9,3,1,24
Senin,19,50,15,11,3,2,31
Senin,19,60,26,10,4,3,43
Senin,20,10,11,10,2,0,23
Senin,20,20,18,10,4,2,34
Senin,20,30,29,8,2,1,40
Senin,20,40,12,7,3,3,25
Senin,20,50,18,5,1,0,24
Senin,20,60,20,13,0,1,34
