hari,jam,menit,motor,mobil,bus,truk,total_kendaraan
Selasa,6,10,38,29,3,1,71
Selasa,6,20,27,21,2,4,54
Selasa,6,30,35,26,2,3,66
Selasa,6,40,26,15,2,3,46
Selasa,6,50,40,24,1,3,68
Selasa,6,60,25,24,4,3,56
Selasa,7,10,54,19,1,1,75
Selasa,7,20,29,16,4,3,52
Selasa,7,30,45,22,3,1,71
Selasa,7,40,40,23,1,4,68
Selasa,7,50,34,18,5,1,58
Selasa,7,60,45,21,2,2,70
Selasa,8,10,17,9,5,1,32
Selasa,8,20,18,18,1,4,41
Selasa,8,30,17,18,3,3,41
Selasa,8,40,28,10,5,4,47
Selasa,8,50,26,19,5,3,53
Selasa,8,60,21,11,3,1,36
Selasa,15,10,21,12,4,3,40
Selasa,15,20,22,9,4,3,38
Selasa,15,30,20,15,2,3,40
Selasa,15,40,32,10,2,2,46
Selasa,15,50,34,13,2,1,50
Selasa,15,60,32,14,4,4,54
Selasa,16,10,36,20,2,4,62
Selasa,16,20,34,17,4,4,59
Selasa,16,30,28,18,1,3,50
Selasa,16,40,31,24,4,2,61
Selasa,16,50,31,27,4,3,65
Selasa,16,60,42,28,3,4,77
Selasa,17,10,45,18,2,4,69
Selasa,17,20,38,15,1,2,56
Selasa,17,30,47,29,4,1,81
Selasa,17,40,50,28,2,1,81
Selasa,17,50,28,28,2,4,62
Selasa,17,60,29,29,5,2,65
Selasa,18,10,27,11,5,4,47
Selasa,18,20,22,14,1,3,40
Selasa,18,30,28,12,5,4,49
Selasa,18,40,31,8,2,1,42
Selasa,18,50,28,16,2,3,49
Selasa,18,60,21,16,3,1,41
Selasa,19,10,27,17,3,4,51
Selasa,19,20,32,15,5,4,56
Selasa,19,30,16,15,2,3,36
Selasa,19,40,16,11,2,1,30
Selasa,19,50,29,15,2,3,49
Selasa,19,60,20,10,3,3,36
