hari,jam,menit,motor,mobil,bus,truk,total_kendaraan,tingkat_kepadatan
Senin,6,10,32,9,4,4,49,Rendah
Senin,6,20,28,9,5,3,45,Rendah
Senin,6,30,27,11,3,2,43,Rendah
Senin,6,40,31,4,1,2,38,Rendah
Senin,6,50,23,10,2,1,36,Rendah
Senin,6,60,38,9,3,1,51,Sedang
Senin,7,10,69,24,4,5,102,Tinggi
Senin,7,20,68,22,5,8,103,Tinggi
Senin,7,30,75,18,8,2,103,Tinggi
Senin,7,40,78,13,4,5,100,Tinggi
Senin,7,50,84,24,6,4,118,Tinggi
Senin,7,60,58,20,5,6,89,Tinggi
Senin,8,10,54,9,5,3,71,Sedang
Senin,8,20,44,18,6,4,72,Sedang
Senin,8,30,42,15,5,4,66,Sedang
Senin,8,40,46,15,2,2,65,Sedang
Senin,8,50,59,21,4,4,88,Tinggi
Senin,8,60,54,13,5,5,77,Sedang
Senin,15,10,40,17,2,4,63,Sedang
Senin,15,20,41,12,4,1,58,Sedang
Senin,15,30,38,14,6,3,61,Sedang
Senin,15,40,33,11,5,3,52,Sedang
Senin,15,50,36,14,4,4,58,Sedang
Senin,15,60,34,12,4,2,52,Sedang
Senin,16,10,61,19,5,3,88,Tinggi
Senin,16,20,44,16,5,2,67,Sedang
Senin,16,30,56,19,9,3,87,Tinggi
Senin,16,40,60,18,1,3,82,Sedang
Senin,16,50,58,28,5,3,94,Tinggi
Senin,16,60,57,13,8,4,82,Sedang
Senin,17,10,92,21,10,1,124,Tinggi
Senin,17,20,90,36,5,3,134,Tinggi
Senin,17,30,83,23,4,4,114,Tinggi
Senin,17,40,68,28,6,7,109,Tinggi
Senin,17,50,72,24,9,2,107,Tinggi
Senin,17,60,85,32,4,5,126,Tinggi
Senin,18,10,57,20,3,2,82,Sedang
Senin,18,20,60,18,6,3,87,Tinggi
Senin,18,30,48,18,6,2,74,Sedang
Senin,18,40,73,19,3,4,99,Tinggi
Senin,18,50,45,20,8,2,75,Sedang
Senin,18,60,64,18,7,5,94,Tinggi
Senin,19,10,32,8,2,1,43,Rendah
