hari,jam,menit,motor,mobil,bus,truk,total_kendaraan
Senin,6,10,32,9,4,4,49
Senin,6,20,28,9,5,3,45
Senin,6,30,27,11,3,2,43
Senin,6,40,31,4,1,2,38
Senin,6,50,23,10,2,1,36
Senin,6,60,38,9,3,1,51
Senin,7,10,69,24,4,5,102
Senin,7,20,68,22,5,8,103
Senin,7,30,75,18,8,2,103
Senin,7,40,78,13,4,5,100
Senin,7,50,84,24,6,4,118
Senin,7,60,58,20,5,6,89
Senin,8,10,54,9,5,3,71
Senin,8,20,44,18,6,4,72
Senin,8,30,42,15,5,4,66
Senin,8,40,46,15,2,2,65
Senin,8,50,59,21,4,4,88
Senin,8,60,54,13,5,5,77
Senin,15,10,40,17,2,4,63
Senin,15,20,41,12,4,1,58
Senin,15,30,38,14,6,3,61
Senin,15,40,33,11,5,3,52
Senin,15,50,36,14,4,4,58
Senin,15,60,34,12,4,2,52
Senin,16,10,61,19,5,3,88
Senin,16,20,44,16,5,2,67
Senin,16,30,56,19,9,3,87
Senin,16,40,60,18,1,3,82
Senin,16,50,58,28,5,3,94
Senin,16,60,57,13,8,4,82
Senin,17,10,92,21,10,1,124
Senin,17,20,90,36,5,3,134
Senin,17,30,83,23,4,4,114
Senin,17,40,68,28,6,7,109
Senin,17,50,72,24,9,2,107
Senin,17,60,85,32,4,5,126
Senin,18,10,57,20,3,2,82
Senin,18,20,60,18,6,3,87
Senin,18,30,48,18,6,2,74
Senin,18,40,73,19,3,4,99
Senin,18,50,45,20,8,2,75
Senin,18,60,64,18,7,5,94
Senin,19,10,32,8,2,1,43
Senin,19,20,33,12,3,3,51
Senin,19,30,34,15,3,5,57
Senin,19,40,38,8,2,3,51
Senin,19,50,32,13,4,2,51
Senin,19,60,28,6,3,3,40
Selasa,6,10,29,5,3,2,39
Selasa,6,20,23,9,3,1,36
Selasa,6,30,30,11,4,3,48
Selasa,6,40,20,6,4,3,33
Selasa,6,50,31,21,4,3,59
Selasa,6,60,34,11,3,3,51
Selasa,7,10,63,21,5,4,93
Selasa,7,20,100,13,7,1,121
Selasa,7,30,66,27,6,2,101
Selasa,7,40,63,25,5,4,97
Selasa,7,50,73,19,10,5,107
Selasa,7,60,48,23,5,6,82
Selasa,8,10,40,15,5,4,64
Selasa,8,20,36,14,3,2,55
Selasa,8,30,66,17,1,4,88
Selasa,8,40,69,19,1,3,92
Selasa,8,50,61,12,5,4,82
Selasa,8,60,39,15,0,2,56
Selasa,15,10,36,8,6,2,52
Selasa,15,20,34,12,5,2,53
Selasa,15,30,47,12,3,3,65
Selasa,15,40,40,10,4,3,57
Selasa,15,50,39,14,6,2,61
Selasa,15,60,55,6,4,4,69
Selasa,16,10,58,15,5,3,81
Selasa,16,20,49,20,6,2,77
Selasa,16,30,64,18,7,4,93
Selasa,16,40,47,15,6,4,72
Selasa,16,50,55,17,8,2,82
Selasa,16,60,60,16,5,4,85
Selasa,17,10,89,28,10,4,131
Selasa,17,20,87,22,8,4,121
Selasa,17,30,79,27,5,8,119
Selasa,17,40,65,18,9,6,98
Selasa,17,50,86,27,7,2,122
Selasa,17,60,79,21,9,4,113
Selasa,18,10,44,15,6,2,67
Selasa,18,20,44,17,5,2,68
Selasa,18,30,47,17,2,2,68
Selasa,18,40,45,15,6,4,70
Selasa,18,50,61,15,5,2,83
Selasa,18,60,52,15,6,2,75
Selasa,19,10,36,15,3,2,56
Selasa,19,20,37,9,3,2,51
Selasa,19,30,33,8,3,2,46
Selasa,19,40,42,13,5,1,61
Selasa,19,50,38,11,5,1,55
Selasa,19,60,26,8,1,1,36
Rabu,6,10,24,10,3,4,41
Rabu,6,20,34,7,2,3,46
Rabu,6,30,21,15,4,2,42
Rabu,6,40,18,13,3,3,37
Rabu,6,50,19,7,3,2,31
Rabu,6,60,26,11,2,2,41
Rabu,7,10,75,25,8,2,110
Rabu,7,20,55,29,7,3,94
Rabu,7,30,92,23,8,4,127
Rabu,7,40,98,31,6,6,141
Rabu,7,50,81,29,4,5,119
Rabu,7,60,86,14,4,0,104
Rabu,8,10,46,18,7,3,74
Rabu,8,20,65,10,1,3,79
Rabu,8,30,53,15,0,3,71
Rabu,8,40,36,18,5,2,61
Rabu,8,50,44,11,4,4,63
Rabu,8,60,39,17,3,2,61
Rabu,15,10,38,9,4,2,53
Rabu,15,20,54,12,3,3,72
Rabu,15,30,38,12,5,4,59
Rabu,15,40,35,11,4,1,51
Rabu,15,50,27,16,6,3,52
Rabu,15,60,43,13,7,4,67
Rabu,16,10,55,14,2,3,74
Rabu,16,20,49,12,4,2,67
